gene,filename,bytes,status
AKT1,variants.AKT1.csv,999001,ok
ALK,variants.ALK.csv,1410100,ok
ARID1A,variants.ARID1A.csv,4052090,ok
ATM,variants.ATM.csv,840533,ok
BAP1,variants.BAP1.csv,5832957,ok
BRAF,variants.BRAF.csv,2010894,ok
BRCA1,variants.BRCA1.csv,3747091,ok
BRCA2,variants.BRCA2.csv,6458822,ok
CDK4,variants.CDK4.csv,252564,ok
CDK6,variants.CDK6.csv,645177,ok
CHEK2,variants.CHEK2.csv,3863552,ok
EGFR,variants.EGFR.csv,3023873,ok
ERBB2,variants.ERBB2.csv,927833,ok
GATA3,variants.GATA3.csv,887412,ok
HRAS,variants.HRAS.csv,6708617,ok
JAK2,variants.JAK2.csv,1105553,ok
KRAS,variants.KRAS.csv,169729,ok
MET,variants.MET.csv,490015,ok
MYC,variants.MYC.csv,674757,ok
NF1,variants.NF1.csv,725205,ok
NRAS,variants.NRAS.csv,246463,ok
PIK3CA,variants.PIK3CA.csv,298265,ok
PTEN,variants.PTEN.csv,4505091,ok
SMAD4,variants.SMAD4.csv,652583,ok
TP53,variants.TP53.csv,4066257,ok
VHL,variants.VHL.csv,1029735,ok
