geneSymbol,maneTranscript,maneProtein,domainName,startResidue,endResidue,excludedResidues,rowStatus,source,sourceVersion,notes
AKT1,NM_001382430.1,NP_001369359.1,,,,,no_clingen_spec_found,ClinGen CSPEC,,No ClinGen CSPEC specification was found for this gene in the registry. | rowStatus=no_clingen_spec_found | criteria= | strength= | status= | specId= | extraction= | maneStatus=MANE Select | maneVersion=v1.5 | specUrl= | rawDescription=
ALK,NM_004304.5,NP_004295.2,,,,,no_clingen_spec_found,ClinGen CSPEC,,No ClinGen CSPEC specification was found for this gene in the registry. | rowStatus=no_clingen_spec_found | criteria= | strength= | status= | specId= | extraction= | maneStatus=MANE Select | maneVersion=v1.5 | specUrl= | rawDescription=
ARID1A,NM_006015.6,NP_006006.3,,,,,no_clingen_spec_found,ClinGen CSPEC,,No ClinGen CSPEC specification was found for this gene in the registry. | rowStatus=no_clingen_spec_found | criteria= | strength= | status= | specId= | extraction= | maneStatus=MANE Select | maneVersion=v1.5 | specUrl= | rawDescription=
ATM,NM_000051.4,NP_000042.3,,,,,clingen_spec_not_released,ClinGen CSPEC,,"ClinGen CSPEC record exists, but no specification is currently in an allowed release state for this build policy. Non-released specs: GN020:Approved For Release. | rowStatus=clingen_spec_not_released | criteria= | strength= | status= | specId= | extraction= | maneStatus=MANE Select | maneVersion=v1.5 | specUrl= | rawDescription="
BAP1,NM_004656.4,NP_004647.1,,,,,no_clingen_spec_found,ClinGen CSPEC,,No ClinGen CSPEC specification was found for this gene in the registry. | rowStatus=no_clingen_spec_found | criteria= | strength= | status= | specId= | extraction= | maneStatus=MANE Select | maneVersion=v1.5 | specUrl= | rawDescription=
BRAF,NM_004333.6,NP_004324.2,P-loop,459,474,,ready,ClinGen CSPEC,2.3,"Parsed named AA range from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN049 | extraction=parsed_range | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN049 | rawDescription=Applicable only to critical and well-established functional domains available in the supplementary table (exon 6, exon 11, P-loop [AA 459-474], CR3 activation segment [AA 594-627]). Not applicable to specific amino acid residues (see PM5)."
BRAF,NM_004333.6,NP_004324.2,CR3 activation segment,594,627,,ready,ClinGen CSPEC,2.3,"Parsed named AA range from CSPEC text. | rowStatus=ready | criteria=PM1 | strength=Moderate | status=Released | specId=GN049 | extraction=parsed_range | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN049 | rawDescription=Applicable only to critical and well-established functional domains available in the supplementary table (exon 6, exon 11, P-loop [AA 459-474], CR3 activation segment [AA 594-627]). Not applicable to specific amino acid residues (see PM5)."
BRCA1,NM_007294.4,NP_009225.1,,,,,missing_boundaries,ClinGen CSPEC,1.2,No explicit residue intervals could be parsed automatically. | rowStatus=missing_boundaries | criteria=PM1 | strength=criterion | status=Released | specId=GN092 | extraction=manual_review_required | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN092 | rawDescription=Located in a mutational hot spot and/or critical and well-established functional domain (e.g. active site of an enzyme) without benign variation.
BRCA2,NM_000059.4,NP_000050.3,,,,,missing_boundaries,ClinGen CSPEC,1.2,No explicit residue intervals could be parsed automatically. | rowStatus=missing_boundaries | criteria=PM1 | strength=criterion | status=Released | specId=GN097 | extraction=manual_review_required | maneStatus=MANE Select | maneVersion=v1.5 | specUrl=https://cspec.genome.network/cspec/ui/svi/doc/GN097 | rawDescription=Located in a mutational hot spot and/or critical and well-established functional domain (e.g. active site of an enzyme) without benign variation.
CDK4,NM_000075.4,NP_000066.1,,,,,no_clingen_spec_found,ClinGen CSPEC,,No ClinGen CSPEC specification was found for this gene in the registry. | rowStatus=no_clingen_spec_found | criteria= | strength= | status= | specId= | extraction= | maneStatus=MANE Select | maneVersion=v1.5 | specUrl= | rawDescription=
CDK6,NM_001145306.2,NP_001138778.1,,,,,no_clingen_spec_found,ClinGen CSPEC,,No ClinGen CSPEC specification was found for this gene in the registry. | rowStatus=no_clingen_spec_found | criteria= | strength= | status= | specId= | extraction= | maneStatus=MANE Select | maneVersion=v1.5 | specUrl= | rawDescription=
CHEK2,NM_007194.4,NP_009125.1,,,,,clingen_spec_not_released,ClinGen CSPEC,,"ClinGen CSPEC record exists, but no specification is currently in an allowed release state for this build policy. Non-released specs: GN228:Classification Rules In Prep. | rowStatus=clingen_spec_not_released | criteria= | strength= | status= | specId= | extraction= | maneStatus=MANE Select | maneVersion=v1.5 | specUrl= | rawDescription="
EGFR,NM_005228.5,NP_005219.2,,,,,no_clingen_spec_found,ClinGen CSPEC,,No ClinGen CSPEC specification was found for this gene in the registry. | rowStatus=no_clingen_spec_found | criteria= | strength= | status= | specId= | extraction= | maneStatus=MANE Select | maneVersion=v1.5 | specUrl= | rawDescription=
ERBB2,NM_004448.4,NP_004439.2,,,,,no_clingen_spec_found,ClinGen CSPEC,,No ClinGen CSPEC specification was found for this gene in the registry. | rowStatus=no_clingen_spec_found | criteria= | strength= | status= | specId= | extraction= | maneStatus=MANE Select | maneVersion=v1.5 | specUrl= | rawDescription=
