NCBIgeneSymbol,HGNCgeneId,HGNCgeneSymbol,featureType,build37RefSeq,build37Start,build37End,build38RefSeq,build38Start,build38End,name,geneSynonym,chromosome,NCBIgeneId,Oncogene,TSG
A1BG,HGNC:5,A1BG,GENE,NC_000019.9,58856548,58864858,NC_000019.10,58345182,58353492,alpha-1-B glycoprotein,"A1B,ABG,GAB,HYST2477",chr19,GeneID:1,,
A1CF,HGNC:24086,A1CF,GENE,NC_000010.10,52559168,52645387,NC_000010.11,50799408,50885666,APOBEC1 complementation factor,"ACF,ACF64,ACF65,APOBEC1CF,ASP",chr10,GeneID:29974,,
A2M,HGNC:7,A2M,GENE,NC_000012.11,9220303,9268825,NC_000012.12,9067707,9116229,alpha-2-macroglobulin,"A2MD,CPAMD5,FWP007,S863-7",chr12,GeneID:2,,
A2ML1,HGNC:23336,A2ML1,GENE,NC_000012.11,8975216,9029383,NC_000012.12,8822553,8887202,alpha-2-macroglobulin like 1,"CPAMD9,OMS,p170",chr12,GeneID:144568,,
A3GALT2,HGNC:30005,A3GALT2,GENE,NC_000001.10,33772366,33786699,NC_000001.11,33306765,33321098,alpha 1%2C3-galactosyltransferase 2,"A3GALT2P,IGB3S,IGBS3S",chr1,GeneID:127550,,
A4GALT,HGNC:18149,A4GALT,GENE,NC_000022.10,43088126,43117307,NC_000022.11,42692114,42721301,alpha 1%2C4-galactosyltransferase (P blood group),"A14GALT,A4GALT1,Gb3S,P(k),P1,P1PK,PK",chr22,GeneID:53947,,
A4GNT,HGNC:17968,A4GNT,GENE,NC_000003.11,137842554,137851232,NC_000003.12,138123712,138133310,alpha-1%2C4-N-acetylglucosaminyltransferase,alpha4GnT,chr3,GeneID:51146,,
AAAS,HGNC:13666,AAAS,GENE,NC_000012.11,53701243,53715394,NC_000012.12,53307455,53321610,aladin WD repeat nucleoporin,"AAA,AAASb,ADRACALA,ADRACALIN,ALADIN,GL003",chr12,GeneID:8086,,
AACS,HGNC:21298,AACS,GENE,NC_000012.11,125549980,125627862,NC_000012.12,125065434,125143327,acetoacetyl-CoA synthetase,"ACSF1,SUR-5",chr12,GeneID:65985,,
AADAC,HGNC:17,AADAC,GENE,NC_000003.11,151531903,151546276,NC_000003.12,151814007,151828488,arylacetamide deacetylase,"CES5A1,DAC",chr3,GeneID:13,,
AADACL2,HGNC:24427,AADACL2,GENE,NC_000003.11,151451714,151479127,NC_000003.12,151733926,151761339,arylacetamide deacetylase like 2,,chr3,GeneID:344752,,
AADACL3,HGNC:32037,AADACL3,GENE,NC_000001.10,12776112,12788727,NC_000001.11,12716109,12728760,arylacetamide deacetylase like 3,,chr1,GeneID:126767,,
AADACL4,HGNC:32038,AADACL4,GENE,NC_000001.10,12704103,12727087,NC_000001.11,12644084,12667076,arylacetamide deacetylase like 4,,chr1,GeneID:343066,,
AADAT,HGNC:17929,AADAT,GENE,NC_000004.11,170981372,171011538,NC_000004.12,170060221,170091699,aminoadipate aminotransferase,"KAT2,KATII,KYAT2",chr4,GeneID:51166,,
AAGAB,HGNC:25662,AAGAB,GENE,NC_000015.9,67493004,67547536,NC_000015.10,67200666,67255198,alpha and gamma adaptin binding protein,"KPPP1,p34,PPKP1,PPKP1A",chr15,GeneID:79719,,
AAK1,HGNC:19679,AAK1,GENE,NC_000002.11,69685128,69870871,NC_000002.12,69457996,69643739,AP2 associated kinase 1,,chr2,GeneID:22848,,
AAMDC,HGNC:30205,AAMDC,GENE,NC_000011.9,77532189,77611819,NC_000011.10,77821143,77906024,adipogenesis associated Mth938 domain containing,"C11orf67,CK067,PTD015",chr11,GeneID:28971,,
AAMP,HGNC:18,AAMP,GENE,NC_000002.11,219128851,219134860,NC_000002.12,218264126,218270181,angio associated migratory cell protein,,chr2,GeneID:14,,
AANAT,HGNC:19,AANAT,GENE,NC_000017.10,74449432,74466199,NC_000017.11,76453350,76470797,aralkylamine N-acetyltransferase,"DSPS,SNAT",chr17,GeneID:15,,
